Epoch,Group,TestAccuracy
5500,1,0.593
5500,2,0.9552
5500,3,0.0818
5550,1,0.5738
5550,2,0.9542
5550,3,0.084
5600,1,0.6162
5600,2,0.961
5600,3,0.0798
5650,1,0.6096
5650,2,0.9638
5650,3,0.0796
5700,1,0.6044
5700,2,0.9602
5700,3,0.0874
5750,1,0.569
5750,2,0.9632
5750,3,0.0844
5800,1,0.6122
5800,2,0.9614
5800,3,0.0862
5850,1,0.618
5850,2,0.9598
5850,3,0.089
5900,1,0.5966
5900,2,0.9598
5900,3,0.093
5950,1,0.573
5950,2,0.9622
5950,3,0.0884
6000,1,0.591
6000,2,0.962
6000,3,0.1012
6050,1,0.4244
6050,2,0.7272
6050,3,0.7876
6100,1,0.4744
6100,2,0.7526
6100,3,0.866
6150,1,0.4274
6150,2,0.7052
6150,3,0.9
6200,1,0.4182
6200,2,0.7098
6200,3,0.9098
6250,1,0.4098
6250,2,0.686
6250,3,0.9006
6300,1,0.3996
6300,2,0.6872
6300,3,0.9248
6350,1,0.3932
6350,2,0.705
6350,3,0.9296
6400,1,0.3936
6400,2,0.71
6400,3,0.936
6450,1,0.3836
6450,2,0.6984
6450,3,0.9336
6500,1,0.4108
6500,2,0.7098
6500,3,0.9392
6550,1,0.3892
6550,2,0.688
6550,3,0.934
6600,1,0.3808
6600,2,0.7226
6600,3,0.9424
6650,1,0.3446
6650,2,0.694
6650,3,0.9342
6700,1,0.3714
6700,2,0.7036
6700,3,0.9418
6750,1,0.3882
6750,2,0.7022
6750,3,0.945
6800,1,0.3828
6800,2,0.689
6800,3,0.9466
6850,1,0.3898
6850,2,0.7126
6850,3,0.944
6900,1,0.3608
6900,2,0.6832
6900,3,0.9402
6950,1,0.3452
6950,2,0.692
6950,3,0.9472
7000,1,0.3296
7000,2,0.6874
7000,3,0.9484
7050,1,0.34
7050,2,0.6796
7050,3,0.9464
7100,1,0.3118
7100,2,0.6978
7100,3,0.947
7150,1,0.283
7150,2,0.6752
7150,3,0.9502
7200,1,0.2956
7200,2,0.6774
7200,3,0.9516
7250,1,0.281
7250,2,0.6862
7250,3,0.952
7300,1,0.3036
7300,2,0.6746
7300,3,0.953
7350,1,0.299
7350,2,0.6636
7350,3,0.9482
7400,1,0.297
7400,2,0.6784
7400,3,0.9506
7450,1,0.283
7450,2,0.667
7450,3,0.9512
7500,1,0.3012
7500,2,0.6456
7500,3,0.9492
7550,1,0.2968
7550,2,0.652
7550,3,0.9552
7600,1,0.287
7600,2,0.6688
7600,3,0.9516
7650,1,0.2944
7650,2,0.6644
7650,3,0.9504
7700,1,0.3028
7700,2,0.627
7700,3,0.9576
7750,1,0.2884
7750,2,0.637
7750,3,0.9572
7800,1,0.2848
7800,2,0.6908
7800,3,0.9538
7850,1,0.307
7850,2,0.6598
7850,3,0.9548
7900,1,0.2838
7900,2,0.6482
7900,3,0.9466
7950,1,0.3006
7950,2,0.6208
7950,3,0.9582
8000,1,0.292
8000,2,0.6874
8000,3,0.957
8050,1,0.278
8050,2,0.6086
8050,3,0.9582
8100,1,0.2824
8100,2,0.6504
8100,3,0.958
8150,1,0.26
8150,2,0.6512
8150,3,0.9586
8200,1,0.2748
8200,2,0.6618
8200,3,0.9572
8250,1,0.2692
8250,2,0.671
8250,3,0.9614
8300,1,0.2868
8300,2,0.6386
8300,3,0.9574
8350,1,0.2908
8350,2,0.6348
8350,3,0.9578
8400,1,0.2906
8400,2,0.6242
8400,3,0.9566
8450,1,0.3018
8450,2,0.645
8450,3,0.96
8500,1,0.289
8500,2,0.6484
8500,3,0.958
8550,1,0.2798
8550,2,0.608
8550,3,0.9582
8600,1,0.291
8600,2,0.6124
8600,3,0.957
8650,1,0.2868
8650,2,0.6002
8650,3,0.9538
8700,1,0.2834
8700,2,0.6036
8700,3,0.9632
8750,1,0.2504
8750,2,0.6252
8750,3,0.9574
8800,1,0.2806
8800,2,0.6446
8800,3,0.9608
8850,1,0.2756
8850,2,0.6488
8850,3,0.958
8900,1,0.2554
8900,2,0.6096
8900,3,0.9636
8950,1,0.2614
8950,2,0.5728
8950,3,0.9612
