Epoch,Group,TestAccuracy
5500,1,0.9592
5500,2,0.9624
5500,3,0.9598
5550,1,0.9594
5550,2,0.9648
5550,3,0.9598
5600,1,0.9618
5600,2,0.9638
5600,3,0.9626
5650,1,0.9494
5650,2,0.9652
5650,3,0.961
5700,1,0.963
5700,2,0.9634
5700,3,0.9566
5750,1,0.9608
5750,2,0.952
5750,3,0.9518
5800,1,0.967
5800,2,0.9668
5800,3,0.9612
5850,1,0.9588
5850,2,0.9608
5850,3,0.96
5900,1,0.9604
5900,2,0.9642
5900,3,0.961
5950,1,0.9662
5950,2,0.966
5950,3,0.9626
6000,1,0.9622
6000,2,0.9638
6000,3,0.9538
6050,1,0.9676
6050,2,0.9562
6050,3,0.9602
6100,1,0.9566
6100,2,0.9626
6100,3,0.9578
6150,1,0.9624
6150,2,0.9604
6150,3,0.9604
6200,1,0.9596
6200,2,0.953
6200,3,0.9486
6250,1,0.9528
6250,2,0.963
6250,3,0.9596
6300,1,0.9612
6300,2,0.962
6300,3,0.9636
6350,1,0.9612
6350,2,0.9598
6350,3,0.965
6400,1,0.9614
6400,2,0.9674
6400,3,0.9662
6450,1,0.9616
6450,2,0.9642
6450,3,0.9602
6500,1,0.962
6500,2,0.9594
6500,3,0.9592
6550,1,0.9592
6550,2,0.9568
6550,3,0.9504
6600,1,0.9608
6600,2,0.9544
6600,3,0.9578
6650,1,0.9644
6650,2,0.9624
6650,3,0.965
6700,1,0.9646
6700,2,0.9586
6700,3,0.9616
6750,1,0.9654
6750,2,0.9596
6750,3,0.9648
6800,1,0.9606
6800,2,0.9532
6800,3,0.9618
6850,1,0.9652
6850,2,0.9642
6850,3,0.965
6900,1,0.9678
6900,2,0.9616
6900,3,0.9588
6950,1,0.9662
6950,2,0.9574
6950,3,0.9578
7000,1,0.9666
7000,2,0.9606
7000,3,0.966
7050,1,0.9582
7050,2,0.9598
7050,3,0.9642
7100,1,0.9656
7100,2,0.9528
7100,3,0.963
7150,1,0.965
7150,2,0.9572
7150,3,0.9626
7200,1,0.9606
7200,2,0.965
7200,3,0.958
7250,1,0.9652
7250,2,0.9666
7250,3,0.9634
7300,1,0.9694
7300,2,0.9636
7300,3,0.9664
7350,1,0.9654
7350,2,0.9604
7350,3,0.9672
7400,1,0.9628
7400,2,0.9626
7400,3,0.9666
7450,1,0.9648
7450,2,0.9542
7450,3,0.9602
7500,1,0.9664
7500,2,0.966
7500,3,0.964
7550,1,0.9536
7550,2,0.9642
7550,3,0.962
7600,1,0.9682
7600,2,0.9576
7600,3,0.9594
7650,1,0.965
7650,2,0.9616
7650,3,0.9574
7700,1,0.9634
7700,2,0.9618
7700,3,0.9612
7750,1,0.962
7750,2,0.9616
7750,3,0.9622
7800,1,0.9634
7800,2,0.96
7800,3,0.96
7850,1,0.9652
7850,2,0.967
7850,3,0.9544
7900,1,0.9634
7900,2,0.965
7900,3,0.957
7950,1,0.9658
7950,2,0.9636
7950,3,0.961
8000,1,0.9662
8000,2,0.9654
8000,3,0.9654
8050,1,0.9682
8050,2,0.9684
8050,3,0.9606
8100,1,0.965
8100,2,0.9674
8100,3,0.9584
8150,1,0.9654
8150,2,0.967
8150,3,0.958
8200,1,0.9606
8200,2,0.9566
8200,3,0.96
8250,1,0.966
8250,2,0.9648
8250,3,0.9568
8300,1,0.9656
8300,2,0.9666
8300,3,0.964
8350,1,0.9682
8350,2,0.9672
8350,3,0.9654
8400,1,0.9668
8400,2,0.962
8400,3,0.9586
8450,1,0.9654
8450,2,0.9632
8450,3,0.9662
8500,1,0.9686
8500,2,0.9662
8500,3,0.9616
8550,1,0.9686
8550,2,0.9616
8550,3,0.9604
8600,1,0.9652
8600,2,0.9584
8600,3,0.9594
8650,1,0.9668
8650,2,0.964
8650,3,0.9612
8700,1,0.966
8700,2,0.968
8700,3,0.9616
8750,1,0.9646
8750,2,0.963
8750,3,0.9608
8800,1,0.9654
8800,2,0.9648
8800,3,0.9574
8850,1,0.9652
8850,2,0.9616
8850,3,0.964
8900,1,0.9672
8900,2,0.9646
8900,3,0.9628
8950,1,0.9658
8950,2,0.9558
8950,3,0.9588
