Epoch,Group,TestAccuracy
5500,2,0.671
5500,3,0.1182
5550,1,0.9284
5550,2,0.656
5550,3,0.1216
5600,1,0.9234
5600,2,0.667
5600,3,0.1246
5650,1,0.9356
5650,2,0.6636
5650,3,0.123
5700,1,0.9202
5700,2,0.6616
5700,3,0.1206
5750,1,0.9278
5750,2,0.6462
5750,3,0.12
5800,1,0.9242
5800,2,0.664
5800,3,0.121
5850,1,0.9314
5850,2,0.658
5850,3,0.1198
5900,1,0.9296
5900,2,0.6484
5900,3,0.125
5950,1,0.9304
5950,2,0.6462
5950,3,0.1148
6000,1,0.923
6000,2,0.6516
6000,3,0.1726
6050,1,0.861
6050,2,0.4492
6050,3,0.544
6100,1,0.9038
6100,2,0.3632
6100,3,0.5528
6150,1,0.9122
6150,2,0.3582
6150,3,0.6012
6200,1,0.9174
6200,2,0.313
6200,3,0.6058
6250,1,0.9112
6250,2,0.3524
6250,3,0.5702
6300,1,0.9122
6300,2,0.2966
6300,3,0.6012
6350,1,0.9092
6350,2,0.3212
6350,3,0.6384
6400,1,0.9168
6400,2,0.2838
6400,3,0.6224
6450,1,0.9132
6450,2,0.3022
6450,3,0.6192
6500,1,0.919
6500,2,0.2352
6500,3,0.6306
6550,1,0.9088
6550,2,0.3102
6550,3,0.6222
6600,1,0.9012
6600,2,0.2706
6600,3,0.6434
6650,1,0.9094
6650,2,0.2402
6650,3,0.6342
6700,1,0.91
6700,2,0.2834
6700,3,0.6232
6750,1,0.9038
6750,2,0.292
6750,3,0.6404
6800,1,0.912
6800,2,0.3028
6800,3,0.6228
6850,1,0.9042
6850,2,0.2858
6850,3,0.6314
6900,1,0.912
6900,2,0.2864
6900,3,0.629
6950,1,0.9064
6950,2,0.303
6950,3,0.6518
7000,1,0.9118
7000,2,0.2782
7000,3,0.6308
7050,1,0.9096
7050,2,0.295
7050,3,0.6452
7100,1,0.8984
7100,2,0.2514
7100,3,0.6468
7150,1,0.9068
7150,2,0.2604
7150,3,0.6434
7200,1,0.9148
7200,2,0.2534
7200,3,0.6336
7250,1,0.9036
7250,2,0.256
7250,3,0.6344
7300,1,0.891
7300,2,0.2432
7300,3,0.6362
7350,1,0.907
7350,2,0.262
7350,3,0.6512
7400,1,0.9086
7400,2,0.265
7400,3,0.64
7450,1,0.894
7450,2,0.2292
7450,3,0.6498
7500,1,0.905
7500,2,0.2662
7500,3,0.6542
7550,1,0.903
7550,2,0.2508
7550,3,0.6312
7600,1,0.913
7600,2,0.2656
7600,3,0.6536
7650,1,0.9162
7650,2,0.2742
7650,3,0.6434
7700,1,0.8916
7700,2,0.3022
7700,3,0.6574
7750,1,0.9042
7750,2,0.2892
7750,3,0.6444
7800,1,0.885
7800,2,0.2174
7800,3,0.6552
7850,1,0.902
7850,2,0.2396
7850,3,0.6404
7900,1,0.894
7900,2,0.2754
7900,3,0.6436
7950,1,0.9062
7950,2,0.2548
7950,3,0.657
8000,1,0.9118
8000,2,0.2314
8000,3,0.6492
8050,1,0.904
8050,2,0.2812
8050,3,0.6284
8100,1,0.8992
8100,2,0.2792
8100,3,0.647
8150,1,0.9052
8150,2,0.2544
8150,3,0.6462
8200,1,0.9076
8200,2,0.3102
8200,3,0.6394
8250,1,0.8946
8250,2,0.2748
8250,3,0.6566
8300,1,0.9048
8300,2,0.2738
8300,3,0.6424
8350,1,0.9018
8350,2,0.2674
8350,3,0.6606
8400,1,0.91
8400,2,0.2502
8400,3,0.6498
8450,1,0.9026
8450,2,0.289
8450,3,0.6614
8500,1,0.905
8500,2,0.2588
8500,3,0.6488
8550,1,0.8984
8550,2,0.2768
8550,3,0.6262
8600,1,0.9052
8600,2,0.2344
8600,3,0.651
8650,1,0.9104
8650,2,0.2462
8650,3,0.626
8700,1,0.9046
8700,2,0.2242
8700,3,0.6334
8750,1,0.9096
8750,2,0.2318
8750,3,0.6282
8800,1,0.9024
8800,2,0.2992
8800,3,0.6346
8850,1,0.9012
8850,2,0.284
8850,3,0.6398
8900,1,0.9024
8900,2,0.273
8900,3,0.6474
8950,1,0.891
8950,2,0.2368
8950,3,0.662
